53152.71289 -9.2163 0.0011 48.8
53158.66346 -9.2251 0.0013 41.0
53511.77334 -9.2133 0.0012 42.8
53520.74475 -9.1957 0.0014 38.3
53573.51204 -9.2054 0.0013 39.2
53574.52233 -9.1970 0.0011 46.0
53575.48075 -9.2017 0.0010 55.3
53576.53605 -9.2132 0.0010 53.0
53577.59260 -9.2169 0.0012 43.0
53578.51071 -9.2057 0.0009 62.5
53578.62960 -9.2038 0.0011 45.0
53579.46256 -9.1928 0.0009 57.8
53579.62105 -9.1913 0.0011 49.2
53585.46177 -9.1983 0.0011 43.9
53586.46516 -9.2091 0.0008 66.2
53587.46470 -9.2233 0.0016 30.6
53588.53806 -9.2142 0.0026 19.4
53589.46202 -9.2000 0.0008 66.7
53590.46390 -9.1933 0.0008 59.7
53591.46648 -9.1983 0.0008 64.0
53592.46481 -9.2113 0.0008 61.5
53606.55168 -9.1912 0.0021 24.2
53607.50753 -9.1945 0.0010 52.8
53608.48264 -9.2098 0.0012 42.7
53609.48845 -9.2174 0.0016 32.1
53757.87732 -9.2003 0.0010 52.3
53760.87548 -9.2075 0.0013 38.9
53761.85922 -9.1986 0.0014 37.0
53811.84694 -9.1996 0.0013 40.3
53813.82702 -9.2160 0.0009 60.7
53830.83696 -9.2078 0.0009 56.9
53862.70144 -9.2066 0.0009 57.6
53864.71366 -9.1922 0.0011 49.1
53867.75217 -9.2153 0.0011 48.2
53870.69660 -9.1997 0.0011 48.4
53882.65776 -9.2174 0.0009 57.9
53887.69074 -9.2117 0.0008 66.0
53918.62175 -9.1983 0.0011 45.9
53920.59495 -9.2245 0.0010 50.7
53945.54312 -9.1968 0.0010 51.4
53951.48593 -9.1995 0.0008 66.4
53975.47160 -9.2134 0.0010 54.9
53979.54398 -9.2134 0.0013 41.4
54166.87418 -9.2189 0.0011 46.3
54170.85396 -9.1981 0.0009 62.1
54194.87235 -9.2185 0.0011 48.4
54196.75038 -9.1897 0.0012 43.1
54197.84504 -9.1908 0.0012 41.9
54198.85551 -9.2082 0.0013 40.6
54199.73287 -9.2114 0.0010 54.7
54200.91092 -9.2061 0.0011 49.5
54201.86855 -9.1967 0.0010 52.6
54202.88260 -9.1935 0.0010 53.2
54228.74156 -9.1975 0.0011 47.9
54229.70048 -9.1957 0.0015 33.2
54230.76214 -9.2078 0.0010 51.8
54234.64592 -9.1914 0.0012 45.1
54253.63317 -9.2154 0.0010 50.9
54254.66481 -9.2104 0.0010 54.5
54291.56885 -9.2129 0.0014 36.7
54292.59081 -9.2058 0.0009 62.0
54293.62587 -9.1962 0.0010 56.6
54295.63945 -9.2164 0.0011 46.3
54296.60611 -9.2257 0.0013 40.6
54297.64194 -9.2143 0.0010 53.7
54298.56760 -9.1983 0.0011 47.8
54299.62220 -9.1951 0.0016 31.5
54300.61911 -9.2070 0.0010 52.4
54315.50749 -9.1920 0.0017 30.5
54317.48085 -9.2130 0.0010 56.2
54319.49053 -9.2031 0.0014 37.8
54320.54407 -9.1951 0.0010 56.9
54323.50705 -9.2171 0.0037 14.1
54340.55578 -9.2077 0.0009 60.5
54342.48620 -9.1870 0.0011 51.1
54349.51516 -9.2179 0.0010 52.7
54530.85566 -9.1978 0.0010 56.0
54550.83127 -9.1996 0.0009 61.7
54553.80372 -9.2189 0.0008 72.4
54563.83800 -9.2100 0.0009 64.1
54566.76115 -9.2051 0.0011 48.9
54567.79167 -9.1967 0.0010 57.4
54569.79330 -9.2204 0.0010 53.0
54570.80425 -9.2204 0.0010 55.7
54571.81838 -9.2019 0.0011 49.1
54587.86197 -9.2025 0.0016 32.6
54588.83880 -9.1963 0.0011 48.8
54589.82749 -9.2000 0.0011 49.8
54590.81963 -9.2110 0.0010 51.4
54591.81712 -9.2256 0.0016 31.6
54592.82734 -9.2158 0.0009 60.4
54610.74293 -9.1865 0.0011 46.4
